Date,Action,Ticker,Shares,Price,Value
2019-01-03,BUY,SPY,457.7386,218.47,100000.0
2019-02-14,SELL,SPY,457.7386,245.45,112354.13
2019-02-14,BUY,UVXY,0.9198,122150.0,112354.13
2019-02-15,SELL,UVXY,0.9198,116225.0,106904.29
2019-02-15,BUY,SPY,430.8406,248.13,106904.29
2019-02-26,SELL,SPY,430.8406,249.87,107655.88
2019-02-26,BUY,UVXY,0.9832,109500.0,107655.88
2019-03-01,SELL,UVXY,0.9832,102200.0,100478.83
2019-03-01,BUY,SPY,400.5406,250.86,100478.83
2019-03-04,SELL,SPY,400.5406,249.95,100113.34
2019-03-04,BUY,UVXY,0.9449,105950.0,100113.34
2019-03-05,SELL,UVXY,0.9449,106675.0,100798.4
2019-03-05,BUY,SPY,403.8307,249.61,100798.4
2019-03-19,SELL,SPY,403.8307,253.74,102468.83
2019-03-19,BUY,UVXY,1.0663,96100.0,102468.83
2019-03-21,SELL,UVXY,1.0663,95350.0,101669.12
2019-03-21,BUY,SPY,397.4001,255.84,101669.12
2019-03-22,SELL,SPY,397.4001,250.91,99712.32
2019-03-22,BUY,UVXY,0.8905,111975.0,99712.32
2019-03-25,SELL,UVXY,0.8905,112175.0,99890.42
2019-03-25,BUY,SPY,398.4094,250.72,99890.42
2019-03-27,SELL,SPY,398.4094,251.27,100108.79
2019-03-27,BUY,UVXY,0.9493,105450.0,100108.79
2019-03-28,SELL,UVXY,0.9493,102100.0,96928.47
2019-03-28,BUY,SPY,384.2958,252.22,96928.47
2019-04-01,SELL,SPY,384.2958,256.82,98696.36
2019-04-01,BUY,UVXY,1.043,94625.0,98696.36
2019-04-02,SELL,UVXY,1.043,94300.0,98357.38
2019-04-02,BUY,SPY,382.7883,256.95,98357.38
2019-04-08,SELL,SPY,382.7883,259.48,99327.31
2019-04-08,BUY,UVXY,1.0984,90425.0,99327.31
2019-04-10,SELL,UVXY,1.0984,91350.0,100343.37
2019-04-10,BUY,SPY,387.3746,259.03,100343.37
2019-04-15,SELL,SPY,387.3746,260.54,100928.09
2019-04-15,BUY,UVXY,1.2487,80825.0,100928.09
2019-05-02,SELL,UVXY,1.2487,84275.0,105236.18
2019-05-02,BUY,SPY,402.2311,261.63,105236.18
2019-05-14,SELL,SPY,402.2311,254.64,102424.39
2019-05-14,BUY,QLD,9220.0975,11.11,102424.39
2019-05-15,SELL,QLD,9220.0975,11.41,105222.12
2019-05-15,BUY,SPY,410.8119,256.13,105222.12
2019-05-20,SELL,SPY,410.8119,255.13,104812.4
2019-05-20,BUY,BIL,1389.0394,75.46,104812.4
2019-05-22,SELL,BIL,1389.0394,75.47,104835.3
2019-05-22,BUY,SPY,408.4849,256.64,104835.3
2019-05-23,SELL,SPY,408.4849,253.51,103554.38
2019-05-23,BUY,BIL,1371.7679,75.49,103554.38
2019-05-30,SELL,BIL,1371.7679,75.52,103599.65
2019-05-30,BUY,QLD,9749.1567,10.63,103599.65
2019-05-31,SELL,QLD,9749.1567,10.27,100136.3
2019-05-31,BUY,BIL,1325.9096,75.52,100136.3
2019-06-03,SELL,BIL,1325.9096,75.52,100131.9
2019-06-03,BUY,QLD,10176.4667,9.84,100131.9
2019-06-05,SELL,QLD,10176.4667,10.53,107161.37
2019-06-05,BUY,SPY,421.4883,254.25,107161.37
2019-07-15,SELL,SPY,421.4883,271.54,114452.69
2019-07-15,BUY,UVXY,1.7834,64175.0,114452.69
2019-07-18,SELL,UVXY,1.7834,65900.0,117529.14
2019-07-18,BUY,SPY,435.5985,269.81,117529.14
2019-08-06,SELL,SPY,435.5985,259.85,113191.09
2019-08-06,BUY,QLD,9993.0561,11.33,113191.09
2019-08-07,SELL,QLD,9993.0561,11.42,114165.28
2019-08-07,BUY,SPY,439.0883,260.01,114165.28
2019-10-03,SELL,SPY,439.0883,263.43,115668.27
2019-10-03,BUY,SSO,7799.531,14.83,115668.27
2019-10-04,SELL,SSO,7799.531,15.23,118785.02
2019-10-04,BUY,SPY,444.8993,266.99,118785.02
2019-11-05,SELL,SPY,444.8993,278.49,123902.03
2019-11-05,BUY,UVXY,2.639,46950.0,123902.03
2019-11-12,SELL,UVXY,2.639,43675.0,115259.24
2019-11-12,BUY,SPY,411.2268,280.28,115259.24
2019-11-13,SELL,SPY,411.2268,280.37,115296.58
2019-11-13,BUY,UVXY,2.6204,44000.0,115296.58
2019-11-14,SELL,UVXY,2.6204,43100.0,112938.25
2019-11-14,BUY,SPY,402.2299,280.78,112938.25
2019-11-15,SELL,SPY,402.2299,282.81,113755.54
2019-11-15,BUY,UVXY,2.8227,40300.0,113755.54
2019-11-21,SELL,UVXY,2.8227,41600.0,117425.08
2019-11-21,BUY,SPY,417.2393,281.43,117425.08
2019-11-29,SELL,SPY,417.2393,285.1,118954.09
